date,DE-BB,DE-BE,DE-BW,DE-BY,DE-HB,DE-HE,DE-HH,DE-MV,DE-NI,DE-NW,DE-RP,DE-SH,DE-SL,DE-SN,DE-ST,DE-TH,sum_cases
2020/3/2,2,0,31,33,2,9,2,0,4,116,2,4,3,1,0,0,209
2020/3/3,0,6,24,6,2,4,3,2,6,29,1,1,0,0,0,1,85
2020/3/4,0,3,38,10,0,2,1,2,4,90,4,0,0,0,0,0,154
2020/3/5,2,10,36,19,0,6,5,1,6,97,1,1,0,0,0,0,184
2020/3/6,0,5,51,51,0,1,3,0,7,62,2,2,0,2,0,0,186
2020/3/7,0,1,32,20,0,4,4,0,8,67,2,0,0,2,0,1,141
2020/3/8,4,12,19,20,0,0,5,2,4,26,3,1,1,5,0,0,102
2020/3/9,4,22,52,87,7,20,21,4,14,97,6,3,5,5,0,0,347
2020/3/10,9,34,118,111,11,16,29,1,35,175,17,7,2,21,6,9,601
2020/3/11,8,42,146,120,11,37,30,8,63,202,29,19,10,16,15,1,757
2020/3/12,25,47,188,137,7,37,41,9,68,284,64,18,13,27,14,11,990
2020/3/13,21,59,314,252,9,79,38,9,92,420,58,27,17,36,11,10,1452
2020/3/14,14,29,326,230,3,83,79,1,77,323,51,24,12,35,2,18,1307
2020/3/15,21,26,183,169,3,24,78,1,68,241,95,21,17,30,0,1,978
2020/3/16,20,63,433,270,1,127,80,14,157,611,125,29,24,42,35,18,2049
2020/3/17,65,93,602,473,12,168,133,31,176,908,168,46,23,87,29,31,3045
2020/3/18,46,146,804,753,10,224,135,43,271,716,158,53,44,131,38,37,3609
2020/3/19,56,180,657,820,40,203,186,34,249,1141,135,60,44,155,43,54,4057
2020/3/20,64,170,847,864,24,211,146,16,266,875,180,78,37,143,51,76,4048
2020/3/21,24,128,566,1110,22,135,106,11,179,691,115,45,38,129,18,38,3355
2020/3/22,21,68,548,559,4,59,149,1,108,435,142,34,46,52,14,27,2267
2020/3/23,51,159,650,721,12,276,132,13,243,881,196,94,59,125,66,52,3730
2020/3/24,56,199,1187,1220,19,235,207,37,294,798,205,100,33,160,62,72,4884
2020/3/25,97,245,1187,1684,11,247,162,24,377,1039,170,86,49,180,51,79,5688
2020/3/26,73,286,1221,1704,31,302,170,24,373,1045,215,96,70,170,58,75,5913
2020/3/27,79,205,1251,1646,20,308,142,42,411,1100,270,117,63,188,78,73,5993
2020/3/28,44,197,1010,1421,25,185,145,21,347,750,165,82,66,163,42,68,4731
2020/3/29,27,87,660,864,1,140,115,11,178,631,142,43,77,71,19,20,3086
2020/3/30,95,167,932,1044,8,183,71,13,311,770,143,78,66,138,72,35,4126
2020/3/31,129,213,1225,1851,17,254,159,50,359,1058,201,104,130,179,56,79,6064
2020/4/1,69,187,1245,1988,16,329,139,23,369,1156,252,103,109,185,36,58,6264
2020/4/2,116,238,1420,1941,11,267,165,29,333,1207,189,112,171,223,46,85,6553
2020/4/3,136,239,1274,1867,33,250,158,31,388,1054,214,112,70,252,44,70,6192
2020/4/4,40,108,854,1494,15,224,108,15,224,685,140,69,139,140,34,50,4339
2020/4/5,26,78,495,724,3,91,108,2,142,508,106,36,87,68,39,40,2553
2020/4/6,75,144,566,1130,5,139,93,5,231,876,140,61,76,81,26,26,3674
2020/4/7,106,202,904,1535,36,255,210,35,372,914,180,112,75,142,45,73,5196
2020/4/8,118,178,934,1548,6,303,117,8,334,1046,173,90,153,160,48,64,5280
2020/4/9,115,176,1002,1271,18,292,113,15,314,1011,156,92,133,100,39,70,4917
2020/4/10,75,82,666,946,9,155,97,11,260,615,131,34,91,130,25,27,3354
2020/4/11,49,87,752,765,13,151,79,13,128,585,77,41,20,80,29,27,2896
2020/4/12,44,54,428,419,4,99,46,3,150,383,65,16,22,88,13,32,1866
2020/4/13,12,59,291,464,6,77,41,4,80,293,73,98,27,40,11,20,1596
2020/4/14,54,74,371,753,7,160,77,3,166,519,100,17,27,72,25,44,2469
2020/4/15,66,113,622,965,15,227,83,11,227,667,119,42,50,57,21,42,3327
2020/4/16,62,94,661,866,45,207,73,9,242,739,115,51,49,102,25,81,3421
2020/4/17,110,120,555,780,12,190,107,4,197,635,129,40,31,44,61,36,3051
2020/4/18,61,82,391,521,17,129,39,6,142,466,87,25,27,47,23,47,2110
2020/4/19,29,33,298,387,12,73,22,0,96,339,26,9,2,23,15,16,1380
2020/4/20,57,45,276,380,7,79,33,2,131,554,35,28,16,33,13,38,1727
2020/4/21,66,76,394,502,17,169,57,2,163,455,61,38,36,49,29,75,2189
2020/4/22,51,81,505,598,108,176,49,4,160,476,85,35,45,51,16,56,2496
2020/4/23,40,87,424,572,17,125,49,0,140,387,55,40,20,34,29,66,2085
2020/4/24,85,73,367,528,17,102,41,6,119,332,62,39,22,45,23,46,1907
2020/4/25,24,55,315,310,15,89,44,7,67,222,30,16,14,22,19,25,1274
2020/4/26,7,21,133,189,14,24,17,0,50,152,30,6,17,20,5,21,706
2020/4/27,38,56,170,341,7,68,21,1,75,225,42,13,5,21,6,28,1117
2020/4/28,67,79,184,362,43,139,25,13,100,266,31,21,7,34,13,77,1461
2020/4/29,37,68,278,305,42,122,42,4,85,249,61,18,27,39,16,43,1436
2020/4/30,35,57,258,292,22,104,25,4,85,383,46,19,23,35,12,61,1461
2020/5/1,33,25,153,223,12,78,8,4,39,231,39,13,13,22,11,14,918
2020/5/2,15,31,111,137,4,40,13,2,36,148,19,11,6,22,5,21,621
2020/5/3,6,32,49,91,17,26,3,0,14,121,0,49,4,10,4,1,427
2020/5/4,19,52,77,166,17,28,9,4,93,171,28,14,5,6,5,30,724
2020/5/5,44,53,126,212,10,90,21,7,80,239,32,49,6,63,19,41,1092
2020/5/6,26,58,127,266,54,104,21,3,92,317,30,16,9,36,10,45,1214
2020/5/7,12,58,177,233,29,83,17,6,86,319,37,34,11,34,12,48,1196
2020/5/8,16,4,206,209,28,86,12,0,74,215,24,22,5,46,8,26,981
2020/5/9,5,17,128,123,15,47,10,4,29,191,28,19,4,23,4,31,678
2020/5/10,3,8,52,78,12,15,3,3,10,104,15,20,0,8,2,8,341
2020/5/11,9,17,97,188,3,33,4,3,48,201,19,5,2,21,2,32,684
2020/5/12,6,37,99,212,20,82,2,4,50,226,21,16,7,25,7,28,842
2020/5/13,10,58,126,188,29,70,14,4,79,211,39,12,8,35,9,16,908
2020/5/14,16,45,102,208,23,46,10,5,40,193,30,5,9,39,10,25,806
2020/5/15,7,16,106,135,21,69,12,2,42,217,35,7,4,20,1,21,715
2020/5/16,13,16,54,101,19,34,6,1,22,140,10,2,2,15,3,24,462
2020/5/17,1,8,32,58,10,74,1,1,9,90,17,1,0,3,2,9,316
2020/5/18,6,33,42,88,11,61,1,0,69,187,19,0,3,18,0,10,548
2020/5/19,4,46,103,108,19,74,3,2,63,193,22,14,4,32,8,34,729
2020/5/20,13,48,88,194,18,102,13,8,94,159,30,9,3,30,3,21,833
2020/5/21,3,10,42,93,16,28,2,0,50,108,6,23,3,11,3,20,418
2020/5/22,5,36,63,117,4,51,3,0,95,95,12,18,3,6,1,18,527
2020/5/23,5,8,49,78,3,51,3,0,37,74,7,0,4,5,0,14,338
2020/5/24,1,3,17,94,13,14,0,0,9,56,1,0,1,5,0,11,225
2020/5/25,7,22,35,88,2,30,1,1,46,135,11,0,4,9,5,18,414
2020/5/26,5,22,57,134,10,76,3,0,60,147,40,7,4,15,1,36,617
2020/5/27,6,42,80,116,26,46,1,0,122,138,21,0,4,19,2,24,647
2020/5/28,6,25,66,88,26,58,0,1,76,115,8,6,4,13,1,37,530
2020/5/29,3,30,39,78,29,38,5,1,64,97,18,14,6,9,1,16,448
2020/5/30,5,23,24,83,24,34,1,0,59,84,11,4,1,5,3,13,374
2020/5/31,1,27,11,37,8,11,6,0,23,44,0,3,1,0,0,7,179
2020/6/1,0,2,7,20,1,2,2,0,42,43,3,5,7,0,1,2,137
2020/6/2,4,41,17,37,11,26,2,0,56,91,7,1,2,3,3,4,305
2020/6/3,5,55,31,54,18,35,10,2,121,119,15,0,3,9,0,20,497
2020/6/4,3,32,48,84,34,29,6,1,100,134,28,0,1,6,6,16,528
2020/6/5,4,35,34,57,15,24,5,3,94,115,22,2,4,5,2,20,441
2020/6/6,1,16,31,23,5,19,1,7,60,95,8,2,5,5,0,6,284
2020/6/7,0,8,13,39,15,8,1,0,32,41,1,1,1,0,1,6,167
2020/6/8,2,29,12,41,1,36,3,0,55,85,15,2,9,3,0,6,299
2020/6/9,6,57,31,45,15,17,2,3,76,123,16,1,7,7,8,14,428
2020/6/10,5,80,51,75,17,37,4,1,64,143,7,2,5,3,3,22,519
2020/6/11,5,50,14,35,8,9,7,2,50,71,1,3,0,1,3,19,278
2020/6/12,8,42,31,32,8,25,4,2,75,84,11,1,1,4,13,8,349
2020/6/13,5,68,10,22,8,19,3,0,30,110,1,0,1,0,11,11,299
2020/6/14,1,12,20,18,3,6,1,1,13,76,3,0,0,1,12,5,172
2020/6/15,11,31,17,35,1,8,1,2,36,98,9,2,0,1,6,2,260
2020/6/16,12,75,39,43,14,40,3,2,59,202,12,1,1,10,12,15,540
2020/6/17,7,85,25,43,12,57,7,5,55,604,17,0,2,32,20,6,977
2020/6/18,13,128,25,46,7,48,8,0,84,223,13,9,2,14,10,5,635
2020/6/19,17,137,35,41,10,58,4,1,77,465,11,2,1,10,21,6,896
2020/6/20,14,35,36,33,8,20,4,0,43,307,10,1,1,6,3,8,529
2020/6/21,0,20,11,28,3,7,4,0,12,155,1,2,0,5,8,0,256
2020/6/22,4,63,25,41,6,20,3,0,16,286,5,0,1,5,6,5,486
2020/6/23,13,70,35,47,0,38,9,1,71,230,17,1,0,8,2,2,544
2020/6/24,10,58,43,56,2,27,11,2,34,239,7,4,1,1,4,3,502
2020/6/25,3,62,43,59,3,39,4,1,41,280,13,6,1,4,2,4,565
2020/6/26,6,43,74,86,1,29,8,2,39,259,16,1,2,0,4,5,575
2020/6/27,1,17,35,43,2,19,2,2,29,165,10,3,1,1,2,0,332
2020/6/28,2,2,11,31,0,2,7,0,14,117,7,1,1,2,2,0,199
2020/6/29,5,53,15,61,1,20,1,1,32,206,15,3,0,3,0,2,418
2020/6/30,4,35,48,86,5,30,3,1,26,178,27,5,0,4,3,5,460
2020/7/1,9,46,47,63,4,50,9,0,34,176,29,12,1,1,1,1,483
2020/7/2,8,57,32,69,4,29,2,1,33,204,7,5,1,4,4,10,470
2020/7/3,10,41,40,83,0,31,2,0,32,170,8,4,0,2,3,0,426
2020/7/4,6,31,22,70,3,17,1,0,6,121,8,3,1,0,1,3,293
2020/7/5,0,2,4,28,1,10,3,0,17,60,1,5,0,0,10,2,143
2020/7/6,5,33,40,83,0,27,3,0,28,81,8,0,0,4,3,5,320
2020/7/7,2,37,36,91,2,29,4,0,14,151,7,4,2,3,3,7,392
2020/7/8,0,46,44,70,3,52,3,0,19,185,12,7,1,3,3,3,451
2020/7/9,5,34,53,89,4,39,2,0,14,155,18,3,3,3,4,2,428
2020/7/10,3,34,38,90,1,42,2,0,11,171,17,1,4,2,8,1,425
2020/7/11,4,4,23,60,0,28,0,0,3,123,22,0,2,2,2,3,276
2020/7/12,1,1,16,18,1,3,0,0,2,62,15,8,1,0,2,1,131
2020/7/13,2,27,45,61,1,31,1,0,22,94,29,8,2,2,0,3,328
2020/7/14,6,25,66,86,0,40,2,0,30,155,23,7,2,5,10,7,464
2020/7/15,4,24,47,107,6,48,1,1,30,220,22,8,2,3,6,9,538
2020/7/16,2,16,59,97,4,40,6,0,26,260,29,2,4,3,3,5,556
2020/7/17,5,21,81,79,8,38,4,2,40,200,12,14,4,4,9,3,524
2020/7/18,7,19,58,49,9,33,1,1,76,146,14,4,2,0,8,1,428
2020/7/19,0,0,28,44,2,9,2,2,11,67,13,7,0,1,1,1,188
2020/7/20,27,31,65,77,1,26,5,0,20,159,21,9,1,10,2,2,456
2020/7/21,14,33,53,85,4,27,9,2,65,184,16,6,5,4,11,1,519
2020/7/22,11,27,101,79,2,72,24,4,56,266,25,17,5,1,6,1,697
2020/7/23,5,47,90,100,6,57,12,11,29,299,10,8,2,7,4,12,699
2020/7/24,1,61,111,134,9,71,22,18,22,310,16,12,9,5,6,2,809
2020/7/25,1,18,51,154,5,34,15,0,33,197,16,7,2,1,3,6,543
2020/7/26,2,3,18,85,0,5,4,0,21,59,1,7,0,1,4,1,211
2020/7/27,4,41,80,74,5,59,7,5,27,168,17,23,2,8,3,4,527
2020/7/28,9,64,66,102,6,64,15,3,62,283,25,26,7,3,8,6,749
2020/7/29,1,69,100,118,5,84,30,10,52,361,21,31,6,7,9,3,907
2020/7/30,9,49,95,101,11,81,21,4,61,348,25,26,8,3,7,6,855
2020/7/31,4,76,103,145,7,84,19,3,60,361,12,24,3,5,8,6,920
2020/8/1,2,34,43,72,1,51,17,11,62,223,15,16,5,3,3,3,561
2020/8/2,3,0,11,70,0,21,6,4,15,151,6,7,2,2,2,1,301
2020/8/3,5,48,54,123,4,69,43,4,59,297,44,17,0,13,2,10,792
2020/8/4,13,57,67,170,4,74,36,9,59,374,29,22,5,14,7,4,944
2020/8/5,8,67,92,118,2,116,58,14,77,450,55,17,12,14,3,11,1114
2020/8/6,17,83,80,133,6,122,60,15,82,429,31,36,8,42,8,14,1166
2020/8/7,19,102,81,79,2,123,34,10,92,363,59,10,7,9,7,10,1007
2020/8/8,5,19,58,47,3,76,34,4,40,334,55,9,5,13,6,2,710
2020/8/9,1,6,24,33,1,18,14,0,16,179,13,8,1,2,2,1,319
2020/8/10,7,96,81,184,8,101,34,6,89,354,56,35,14,15,9,13,1102
2020/8/11,8,105,122,176,7,98,29,5,64,430,44,52,9,18,12,14,1193
2020/8/12,20,144,151,204,3,154,48,3,108,561,54,38,8,19,10,19,1544
2020/8/13,10,89,151,236,6,186,26,5,91,537,81,22,16,17,8,11,1492
2020/8/14,8,75,151,219,7,149,34,11,75,498,60,33,18,14,11,11,1374
2020/8/15,5,33,94,88,6,61,10,1,58,325,35,19,7,2,8,1,753
2020/8/16,5,3,31,162,4,48,8,1,17,171,32,2,3,2,1,2,492
2020/8/17,16,99,222,368,6,188,17,4,105,386,99,15,7,12,4,5,1553
2020/8/18,18,76,278,311,14,139,32,2,157,365,72,18,9,18,12,13,1534
2020/8/19,19,71,294,400,12,208,35,3,149,382,102,22,19,19,13,6,1754
