date,DE-BB,DE-BE,DE-BW,DE-BY,DE-HB,DE-HE,DE-HH,DE-MV,DE-NI,DE-NW,DE-RP,DE-SH,DE-SL,DE-SN,DE-ST,DE-TH,sum_cases
2020/3/4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2020/3/5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/3/6,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,4
2020/3/7,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,4
2020/3/8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020/3/9,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,7
2020/3/10,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4
2020/3/11,0,0,5,1,0,0,0,0,0,3,0,0,0,0,1,0,10
2020/3/12,0,0,4,3,0,0,1,0,1,3,0,1,0,0,0,0,13
2020/3/13,0,0,4,3,0,0,1,0,0,7,0,0,0,1,0,0,16
2020/3/14,0,0,9,5,0,1,1,0,0,3,0,0,0,1,0,0,20
2020/3/15,0,0,4,3,0,0,0,0,1,6,1,0,0,0,0,0,15
2020/3/16,0,0,13,8,0,1,0,0,0,11,1,0,2,0,0,0,36
2020/3/17,0,0,13,10,1,1,1,0,1,14,1,2,0,0,0,0,44
2020/3/18,0,2,19,12,0,1,0,0,5,19,1,4,1,0,0,0,64
2020/3/19,1,1,19,11,0,1,2,0,2,23,4,0,0,1,0,0,65
2020/3/20,1,2,29,26,0,4,2,0,7,20,1,1,0,2,1,0,96
2020/3/21,0,2,18,41,0,3,1,0,4,16,2,3,1,1,1,2,95
2020/3/22,0,1,20,20,0,1,2,0,0,22,4,3,1,1,2,1,78
2020/3/23,0,4,29,48,0,5,1,0,5,26,0,3,4,3,3,1,132
2020/3/24,0,5,44,48,1,9,3,1,5,24,4,4,4,7,4,3,166
2020/3/25,4,2,45,66,0,5,13,1,17,37,5,4,3,7,4,3,216
2020/3/26,2,4,74,94,2,13,6,0,11,38,6,4,2,4,2,2,264
2020/3/27,5,5,51,70,1,15,9,1,36,46,6,2,3,7,3,4,264
2020/3/28,0,3,58,89,0,7,10,2,25,38,7,1,2,3,0,1,246
2020/3/29,0,4,32,47,0,11,1,0,16,41,3,2,5,1,0,1,164
2020/3/30,12,4,59,73,2,11,4,0,20,43,8,5,4,11,7,1,264
2020/3/31,8,3,83,131,1,13,8,2,15,59,11,5,13,17,1,4,374
2020/4/1,7,8,87,107,1,24,8,3,20,84,9,7,5,4,0,2,376
2020/4/2,9,7,97,128,1,23,13,3,22,66,2,4,16,18,1,4,414
2020/4/3,15,17,79,94,5,12,21,0,32,73,15,7,2,17,1,4,394
2020/4/4,2,2,43,83,1,18,6,0,20,40,4,3,11,8,1,3,245
2020/4/5,3,5,34,49,0,6,8,0,9,47,3,1,8,3,0,5,181
2020/4/6,6,9,45,72,0,21,11,0,26,73,9,5,7,5,1,2,292
2020/4/7,8,15,53,96,2,18,23,3,19,56,13,11,4,6,2,8,337
2020/4/8,3,6,70,90,0,19,9,0,25,76,11,5,11,8,0,3,336
2020/4/9,10,10,67,89,2,32,3,0,18,59,11,5,6,7,2,6,327
2020/4/10,2,5,40,58,1,15,1,1,16,38,7,1,7,7,1,7,207
2020/4/11,5,1,37,71,2,15,4,0,9,36,6,3,1,7,1,4,202
2020/4/12,6,0,45,42,0,12,8,0,12,31,3,0,0,3,1,5,168
2020/4/13,0,3,33,45,3,11,6,0,11,23,4,12,3,6,1,2,163
2020/4/14,2,1,28,70,0,15,8,1,19,51,8,1,2,4,0,8,218
2020/4/15,9,3,45,71,1,13,5,0,21,39,6,3,5,2,0,5,228
2020/4/16,5,3,33,55,1,15,9,0,11,35,7,3,4,5,2,1,189
2020/4/17,0,6,29,52,1,10,9,0,11,34,7,3,2,5,1,3,173
2020/4/18,4,4,21,35,0,12,1,1,7,24,4,2,2,0,1,4,122
2020/4/19,2,1,26,39,0,10,2,0,9,26,1,1,0,0,0,1,118
2020/4/20,9,2,21,33,0,8,3,0,11,37,3,4,2,4,2,7,146
2020/4/21,4,2,21,36,4,10,3,0,10,25,5,2,5,5,1,4,137
2020/4/22,1,7,22,36,0,12,2,0,7,18,8,5,6,0,0,3,127
2020/4/23,3,2,22,37,0,8,8,0,12,14,1,2,2,2,2,2,117
2020/4/24,2,3,15,24,0,6,1,0,7,7,5,2,3,4,2,2,83
2020/4/25,1,7,22,19,0,4,4,1,3,11,0,2,0,0,2,3,79
2020/4/26,0,1,4,11,0,3,2,0,2,3,0,1,0,0,0,1,28
2020/4/27,3,10,4,22,0,2,3,0,10,12,2,1,0,2,0,3,74
2020/4/28,2,7,10,19,3,4,1,0,7,14,5,0,0,1,0,8,81
2020/4/29,1,0,13,18,0,1,2,0,8,6,2,0,1,4,0,3,59
2020/4/30,2,4,10,11,0,6,1,0,7,12,2,1,1,2,1,8,68
